StudentID,GRADE,ClassWeekDay,ClassMeetTime,ClassDate,ClassTitle
1,A,MW,15:30:00,9/1/2004,Math
1,A,M,19:00:00,9/1/2004,English
1,C,W,19:00:00,9/1/2004,Physics
1,B,MW,11:00:00,9/1/2004,Art
1,B,MW,12:30:00,9/1/2005,SocialStudy
1,B,TTH,12:30:00,9/1/2005,PE
1,B,M,19:00:00,9/1/2005,ForeignLanguage
1,B,MW,11:00:00,9/1/2005,Statistics
1,B,TU,16:00:00,9/1/2006,Music
1,C,M,16:00:00,3/1/2007,Drawing
2,B,W,19:00:00,9/1/2005,Statistics
2,B,MW,17:00:00,9/1/2005,English
2,A,M,19:00:00,9/1/2005,PE
2,B,MW,15:30:00,9/1/2005,ForeignLanguage
2,B,M,19:00:00,3/1/2006,Art
2,A,MW,14:00:00,3/1/2006,Physics
2,A,M,16:00:00,3/1/2006,Drawing
2,B,TTH,14:00:00,9/1/2006,Math
2,B,TU,19:00:00,9/1/2006,SocialStudy
2,C,MW,12:30:00,3/1/2007,Music
3,A,M,19:00:00,3/1/2004,ForeignLanguage
3,A,TU,19:00:00,9/1/2004,PE
3,B,F,10:00:00,9/1/2004,English
3,B,TU,15:30:00,9/1/2004,Statistics
3,A,MW,11:00:00,9/1/2004,Art
3,B,TTH,14:00:00,3/1/2005,Physics
3,A, ,17:00:00,3/1/2005,SocialStudy
3,B,TH,19:00:00,3/1/2005,Drawing
3,A,TU,19:00:00,3/1/2005,Math
3,B,MW,9:30:00,3/1/2006,Music
4,B,TTH,8:00:00,3/1/2005,SocialStudy
4,C,TTH,12:30:00,9/1/2005,PE
4,A,TTH,12:30:00,3/1/2006,English
4,A,TTH,9:30:00,3/1/2006,Physics
4,B,TTH,11:00:00,3/1/2006,Art
4,B,MW,8:00:00,9/1/2006,Statistics
4,B,TTH,9:30:00,9/1/2006,ForeignLanguage
4,B,TTH,12:30:00,3/1/2007,Math
4,B,TTH,9:30:00,3/1/2007,Music
4,A,MW,12:30:00,9/1/2007,Drawing
5,A,F,12:00:00,3/1/2006,PE
5,A,TTH,9:30:00,3/1/2006,SocialStudy
5,A,MW,12:30:00,9/1/2006,Art
5,B,MW,8:00:00,9/1/2006,Statistics
5,B,MW,12:30:00,3/1/2007,English
5,C,TTH,11:00:00,3/1/2007,Drawing
5,B,MW,11:00:00,3/1/2007,ForeignLanguage
5,A,MW,12:30:00,9/1/2008,Physics
5,B,MW,8:00:00,9/1/2009,Music
5,B,TTH,14:00:00,9/1/2009,Math
6,B,MW,11:00:00,3/1/2006,Drawing
6,B,TTH,11:00:00,3/1/2006,Art
6,B,TTH,9:30:00,3/1/2006,SocialStudy
6,B,MW,11:00:00,9/1/2006,PE
6,C,TTH,9:30:00,9/1/2006,Statistics
6,C,MW,9:30:00,9/1/2006,Physics
6,B,TTH,14:00:00,3/1/2007,Math
6,A,TTH,12:30:00,9/1/2007,ForeignLanguage
6,C,MW,12:30:00,9/1/2007,Music
6,B,MW,12:30:00,3/1/2008,English
7,C,MW,14:00:00,9/1/2004,PE
7,C,MW,15:30:00,9/1/2004,Math
7,A,TH,19:00:00,3/1/2005,Physics
7,B,M,19:00:00,3/1/2005,ForeignLanguage
7,B,TU,19:00:00,3/1/2005,Art
7,C,W,19:00:00,9/1/2005,Statistics
7,A,TU,19:00:00,9/1/2005,Drawing
7,B,TH,19:00:00,9/1/2005,SocialStudy
7,B,TU,15:30:00,9/1/2005,English
7,A,TU,16:00:00,3/1/2006,Music
8,B,W,19:00:00,9/1/2004,Math
8,B,M,19:00:00,9/1/2004,PE
8,B,M,19:00:00,3/1/2006,Statistics
8,A,TH,19:00:00,9/1/2006,Drawing
8,A,TU,19:00:00,9/1/2006,Art
8,A,M,19:00:00,3/1/2007,Physics
8,A,TH,19:00:00,9/1/2007,SocialStudy
8,A,M,19:00:00,9/1/2007,English
8,A,M,19:00:00,9/1/2008,ForeignLanguage
8,B,W,19:00:00,9/1/2008,Music
9,A,TTH,14:00:00,3/1/2004,SocialStudy
9,C,TTH,12:30:00,3/1/2004,English
9,B,TTH,9:30:00,9/1/2004,Statistics
9,B,TTH,12:30:00,9/1/2004,ForeignLanguage
9,C,TTH,11:00:00,9/1/2004,Math
9,C,TTH,14:00:00,9/1/2004,Physics
9,B,TU,19:00:00,3/1/2005,Art
9,C,TH,16:00:00,9/1/2005,Music
9,B,TU,16:00:00,9/1/2005,PE
9,C,TTH,17:00:00,3/1/2006,Drawing
10,B,TH,16:00:00,9/1/2009,ForeignLanguage
10,A,TTH,11:00:00,3/1/2010,Art
10,A,MW,15:30:00,3/1/2010,Physics
10,B,MW,11:00:00,3/1/2010,Statistics
10,B,TU,19:00:00,3/1/2010,Math
10,B,TTH,11:00:00,9/1/2010,Drawing
10,B,MW,11:00:00,9/1/2010,PE
10,A, ,19:00:00,9/1/2010,SocialStudy
10,B,MW,15:30:00,3/1/2011,English
10,B,MW,12:30:00,9/1/2011,Music
11,B,M,19:00:00,3/1/2006,Physics
11,C,MW,12:30:00,3/1/2006,SocialStudy
11,B,MW,15:30:00,9/1/2006,Math
11,C,W,19:00:00,9/1/2006,PE
11,C,M,19:00:00,9/1/2006,Art
11,C,MW,17:00:00,9/1/2006,English
11,D,M,19:00:00,3/1/2007,ForeignLanguage
11,C,MW,17:00:00,3/1/2007,Statistics
11,B,TU,19:00:00,9/1/2007,Music
11,C,MW,9:30:00,9/1/2007,Drawing
12,D,M,19:00:00,3/1/2004,SocialStudy
12,D,W,19:00:00,9/1/2004,Statistics
12,C,TU,19:00:00,9/1/2004,Math
12,F,TU,15:30:00,3/1/2006,English
12,C,W,19:00:00,9/1/2006,Physics
12,C,TU,19:00:00,9/1/2006,Drawing
12,B,W,16:00:00,3/1/2007,Music
12,C,TTH,12:30:00,3/1/2007,English
12,C, ,19:00:00,9/1/2007,SocialStudy
12,C,M,19:00:00,9/1/2008,ForeignLanguage
13,A,TH,19:00:00,9/1/2004,Physics
13,B,W,19:00:00,9/1/2004,Math
13,A,W,19:00:00,3/1/2005,English
13,B,TU,19:00:00,3/1/2005,PE
13,B,TU,19:00:00,9/1/2005,ForeignLanguage
13,A,TU,19:00:00,3/1/2006,Art
13,A,M,19:00:00,3/1/2006,Statistics
13,A,TU,19:00:00,9/1/2006,SocialStudy
13,A,TH,19:00:00,3/1/2007,Drawing
13,A,M,19:00:00,9/1/2007,Music
14,D,TU,15:30:00,3/1/2005,English
14,B,TTH,8:00:00,3/1/2005,Statistics
14,C,TTH,9:30:00,3/1/2005,SocialStudy
14,C, ,12:30:00,3/1/2005,PE
14,C,TTH,12:30:00,9/1/2005,ForeignLanguage
14,B,TTH,17:00:00,9/1/2005,Drawing
14,C,MW,15:30:00,9/1/2005,Math
14,B,TTH,11:00:00,9/1/2005,Art
14,C,TTH,9:30:00,9/1/2005,Physics
14,C,TTH,9:30:00,9/1/2006,Music
15,B,MW,14:00:00,3/1/2004,ForeignLanguage
15,B,TTH,12:30:00,3/1/2004,Statistics
15,B,MW,17:00:00,3/1/2004,PE
15,B,TTH,11:00:00,3/1/2004,Art
15,B,MW,9:30:00,9/1/2004,SocialStudy
15,B,TU,15:30:00,9/1/2004,English
15,B,MW,8:00:00,9/1/2004,Physics
15,B,TTH,9:30:00,3/1/2005,Music
15,C,TTH,14:00:00,9/1/2005,Drawing
15,B,MW,15:30:00,9/1/2005,Math
16,A,MW,9:30:00,3/1/2010,Physics
16,B,F,10:00:00,3/1/2010,English
16,A,M,19:00:00,3/1/2010,PE
16,B, ,19:00:00,9/1/2010,SocialStudy
16,B,MW,14:00:00,9/1/2010,ForeignLanguage
