ID,HS_ENGLISH,HS_MATH,HS_HISTORY,HS_LAB_SCIENCES,HS_FOREIGN_LANGUAGE,HS_ART,HS_ELECTIVES,HS_GPA,sex,WRITINGScore,GraduateONTime,Major
1,8,8,7,8,6,4,1,3.691958939,1,428,0,FIN
2,8,10,7,6,8,10,0,3.712992985,1,558,0,MGMT
3,8,7,6,6,4,4,0,4.373718854,1,634,1,MKTG
4,8,8,6,6,4,2,0,4.046570237,0,386,0,MKTG
5,8,6,6,4,4,3,1,2.560075508,0,381,0,MGMT
6,8,8,6,4,6,4,1,3.221351196,0,449,0,ACCT
7,8,10,6,8,6,4,3,2.470296194,1,523,0,ACCT
8,8,8,8,9,5,2,3,2.602701482,1,542,1,MGMT
9,10,8,6,6,6,3,2,3.851939721,1,288,0,FIN
10,8,8,6,8,4,2,4,3.337648206,0,499,0,MGMT
11,8,10,6,6,4,2,2,4.135487625,0,525,1,FIN
12,8,10,6,6,8,4,0,3.940382854,0,622,0,I S
13,8,6,4,4,6,6,1,3.235532899,0,369,0,MGMT
14,8,8,6,9,4,4,4,3.074215666,1,456,0,FIN
15,8,7,5,6,4,2,1,2.993259064,1,501,0,MGMT
16,8,6,6,4,6,4,0,3.858674968,0,505,0,FIN
17,8,10,6,4,6,7,0,3.601593595,1,526,0,MGMT
18,8,5,5,6,4,2,5,3.424977102,0,485,0,FIN
19,8,8,7,4,5,2,1,2.839765752,1,428,0,MGMT
20,8,10,6,8,8,3,1,3.571774293,1,569,1,MKTG
21,8,8,6,6,6,3,0,3.51987118,1,572,1,ACCT
22,8,10,6,8,8,4,2,3.689348951,1,529,1,MGMT
23,8,6,7,6,6,2,1,3.370523904,0,476,0,ACCT
24,8,6,6,6,6,2,2,2.754498531,0,517,0,FIN
25,8,6,8,6,4,3,0,3.723177106,0,459,0,MGMT
26,8,10,6,6,6,4,1,4.149512858,0,473,0,FIN
27,8,6,6,9,6,2,4,2.556193556,0,423,0,ACCT
28,8,6,5,6,8,2,1,3.204340416,0,377,0,I S
29,8,7,6,6,5,2,2,3.723621596,0,527,0,MKTG
30,8,8,6,5,6,7,1,3.080943666,0,665,0,FIN
31,8,6,5,8,6,2,3,2.421846863,0,461,0,MKTG
32,8,8,6,10,6,2,0,3.93665378,1,451,1,ACCT
33,8,8,4,8,6,2,0,2.794671572,0,535,0,I S
34,8,10,6,6,4,2,0,3.1716906,0,413,0,MKTG
35,8,8,6,6,6,2,2,4.388488389,0,610,0,MGMT
36,8,10,7,8,6,2,0,2.966949645,1,491,0,ACCT
37,8,8,8,6,4,4,0,3.044040568,1,513,0,MGMT
38,8,10,8,6,6,4,6,3.502011201,0,634,1,ACCT
39,8,8,6,8,6,2,2,3.198035756,1,462,0,FIN
40,8,10,6,8,6,2,2,3.959123579,1,460,0,MKTG
41,8,8,5,8,6,2,2,4.128528352,0,507,0,I S
42,8,6,5,6,4,3,2,2.652737981,0,434,1,I S
43,8,6,5,8,8,2,0,3.449428601,1,435,0,ACCT
44,8,6,6,6,4,6,0,3.562557714,1,570,0,MKTG
45,8,8,6,6,4,6,4,2.922657724,0,460,1,MKTG
46,8,5,5,7,4,2,0,2.231068186,0,406,0,I S
47,8,12,6,6,6,3,2,4.244971025,0,538,0,ACCT
48,8,9,6,4,6,2,1,3.931407189,1,564,0,FIN
49,8,8,8,6,6,6,2,4.325898334,0,502,0,ACCT
50,8,10,6,6,6,2,0,3.774722789,1,420,1,FIN
51,8,8,5,6,4,2,0,3.585693056,0,437,0,I S
52,8,8,6,6,4,2,0,3.330814368,1,396,0,I S
53,8,12,5,8,6,4,1,3.963747419,1,511,0,MKTG
54,10,6,6,6,6,3,2,2.684265259,0,466,0,FIN
55,8,12,6,6,8,8,0,3.487681713,0,553,0,MGMT
56,8,10,6,4,8,3,2,3.311819889,1,468,0,MGMT
57,8,9,6,10,8,2,0,3.563983539,0,471,0,MKTG
58,8,10,4,6,8,6,4,3.679402118,0,466,0,ACCT
59,8,8,6,6,6,5,0,4.043431992,1,531,0,I S
60,8,10,6,6,6,4,2,2.570928512,1,526,0,ACCT
61,8,8,6,4,4,10,0,3.172518819,0,489,0,ACCT
62,8,8,10,6,4,2,0,4.069414552,0,556,0,ACCT
63,8,10,7,6,6,2,1,4.476188698,0,505,1,MKTG
64,8,8,6,8,4,4,0,3.136646093,0,453,0,FIN
65,8,10,6,6,4,2,0,3.387819411,0,538,0,I S
